what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060750884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1385060772270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060787017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060801838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060803776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060809398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060819967
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1385060823039
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1385060823806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060824772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060849379
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385060854352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060856228
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385060856276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060858720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385060879848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385060881749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060885966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060923068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060940994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385060945242
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385060946874
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385060946878
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385060946879
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1385060955232
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1385060955453
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1385060955547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385061031284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385061330038
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385061332258
closed,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1385061332261
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385061334564
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1385061334565
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1385061339639
